,length,width,depth,table,carat_log,cut_num,color_num,clarity_num
0,6.73,6.7,4.23,3.819,0.1906203596086497,4,2,3
1,4.14,4.17,2.66,2.3352000000000004,-1.2729656758128873,2,6,5
2,4.86,4.82,2.96,2.7956,-0.8675005677047231,3,4,4
3,4.16,4.12,2.53,2.3484,-1.3470736479666092,4,2,7
4,6.52,6.55,4.14,3.7334999999999994,0.09531017980432493,1,3,2
5,4.48,4.52,2.8,2.5312,-1.0498221244986778,4,4,2
6,4.37,4.4,2.73,2.3760000000000003,-1.171182981502945,4,1,3
7,4.93,4.91,2.96,2.7986999999999997,-0.843970070294529,3,2,2
8,5.2,5.17,3.13,3.0503,-0.6733445532637656,3,1,1
9,6.81,6.84,4.23,3.80988,0.19885085874516517,4,1,4
10,4.77,4.73,3.0,2.6961,-0.8915981192837836,2,6,2
11,4.41,4.38,2.72,2.5841999999999996,-1.1086626245216111,3,3,6
12,6.23,6.29,3.91,3.4595000000000002,-0.07257069283483537,4,1,2
13,5.74,5.79,3.55,3.3002999999999996,-0.342490308946776,4,2,4
14,5.0,5.04,3.12,2.6712000000000002,-0.7550225842780328,4,3,5
15,7.78,7.71,4.69,4.394699999999999,0.5364933705145685,3,1,1
16,4.45,4.5,2.69,2.835,-1.1086626245216111,2,5,5
17,6.85,6.9,4.24,4.14,0.23111172096338664,2,3,2
18,5.87,5.83,3.56,3.3813999999999997,-0.2876820724517809,3,3,2
19,5.89,5.94,3.63,3.3858,-0.2744368457017603,2,2,2
20,4.33,4.35,2.71,2.3055,-1.171182981502945,4,5,5
21,5.8,5.75,3.39,3.4499999999999997,-0.35667494393873245,3,4,5
22,4.31,4.32,2.66,2.4624,-1.2039728043259361,4,6,5
23,4.3,4.31,2.59,2.4136,-1.2729656758128873,4,4,4
24,6.14,6.18,3.86,3.4608000000000003,-0.10536051565782628,4,5,3
25,5.06,5.12,3.18,2.8672000000000004,-0.6733445532637656,4,0,2
26,5.72,5.77,3.51,3.4619999999999997,-0.342490308946776,2,1,3
27,5.36,5.38,3.27,3.0128000000000004,-0.5621189181535413,4,2,6
28,5.75,5.79,3.49,3.5898,-0.342490308946776,2,4,1
29,5.67,5.71,3.6,3.1976000000000004,-0.3285040669720361,2,5,2
30,4.55,4.57,2.84,2.6048999999999998,-1.0216512475319814,4,3,4
31,4.3,4.32,2.67,2.5056,-1.2039728043259361,4,2,4
32,6.27,6.3,3.73,3.7169999999999996,-0.10536051565782628,2,1,3
33,5.76,5.79,3.42,3.4160999999999997,-0.35667494393873245,1,6,6
34,4.74,4.65,2.84,2.883,-0.9675840262617056,3,5,3
35,5.82,5.75,3.31,4.0249999999999995,-0.40047756659712525,0,1,3
36,4.32,4.28,2.64,2.5252,-1.2039728043259361,3,5,4
37,8.2,8.16,4.89,4.7328,0.7030975114131134,3,5,1
38,8.1,8.03,4.93,4.818,0.6931471805599453,3,3,1
39,4.41,4.39,2.77,2.5022999999999995,-1.1086626245216111,4,2,2
40,6.65,6.61,4.1,3.7016000000000004,0.09531017980432493,4,4,0
41,5.25,5.31,3.26,2.9736000000000002,-0.579818495252942,2,5,3
42,6.12,6.08,3.71,3.5263999999999998,-0.16251892949777494,3,0,3
43,6.15,6.09,3.9,3.2886,-0.07257069283483537,1,0,2
44,5.2,5.23,3.19,2.9288000000000007,-0.6348782724359695,4,6,3
45,4.76,4.8,2.91,2.7359999999999998,-0.916290731874155,2,3,6
46,5.78,5.82,3.59,3.2010000000000005,-0.31471074483970024,4,4,1
47,6.7,6.67,4.16,3.8686,0.131028262406404,3,1,2
48,6.48,6.45,3.97,3.7409999999999997,0.01980262729617973,3,5,2
