,price
0,6134
1,532
2,1103
3,600
4,4997
5,583
6,452
7,919
8,956
9,6469
10,947
11,1114
12,3856
13,2175
14,1618
15,9760
16,981
17,6733
18,2631
19,2557
20,791
21,3062
22,814
23,598
24,4770
25,988
26,2384
27,1949
28,2138
29,3183
30,678
31,545
32,3992
33,4198
34,1112
35,1436
36,814
37,17825
38,13986
39,610
40,3745
41,1755
42,2295
43,2438
44,1857
45,1123
46,2588
47,4788
48,5956
49,8687
50,7632
51,10580
52,4596
53,4213
54,4096
55,1092
56,5465
57,4785
58,1392
59,8043
60,545
61,3399
62,1050
63,666
64,11580
65,3456
66,17492
67,6158
68,4001
69,3393
70,3630
71,564
72,7826
73,3997
74,2190
75,3196
76,5665
77,5628
78,2381
79,10106
80,1044
81,4234
82,15351
83,2441
84,679
85,1655
86,630
87,684
88,4703
89,583
90,7328
91,477
92,5096
93,8062
94,10214
95,3360
96,923
97,5098
98,2445
99,4051
100,18114
101,8915
102,2718
103,1250
104,706
105,3017
106,477
107,3527
108,872
109,1881
110,6604
111,461
112,766
113,2306
114,3160
115,786
116,8279
117,2477
118,2542
119,605
120,2016
121,9173
122,2499
123,1127
124,4712
125,2906
126,1563
127,765
128,7302
129,1812
130,876
131,4200
132,1069
133,9245
134,2720
135,2636
136,694
137,2822
138,2519
139,12848
140,6619
141,741
142,786
143,3709
144,6932
145,4788
146,1687
147,10692
148,2726
149,698
150,4078
151,4493
152,1013
153,2948
154,3584
155,709
156,8225
157,3755
158,10707
159,3225
160,882
161,1125
162,14666
163,417
164,6470
165,3405
166,2692
167,710
168,6323
169,2106
170,5506
171,787
172,6060
173,1013
174,487
175,802
176,6666
177,10796
178,4235
179,535
180,666
181,5264
182,814
183,2459
184,3266
185,527
186,3062
187,802
188,804
189,523
190,8431
191,4416
192,931
193,11392
194,1020
195,18286
196,596
197,720
198,3737
199,4648
200,1046
201,4530
202,4608
203,2776
204,537
205,3193
206,4052
207,4191
208,726
209,1048
210,4327
211,5504
212,562
213,2379
214,5252
215,633
216,5019
217,2396
218,2662
219,7809
220,4624
221,4852
222,14824
223,2056
224,478
225,4660
226,4269
227,2176
228,1761
229,5050
230,1071
231,6176
232,1723
233,2351
234,3898
235,1200
236,956
237,11888
238,4580
239,1781
240,3115
241,867
242,2821
243,713
244,936
245,3659
246,591
247,851
248,4666
249,625
250,4662
251,840
252,1709
253,776
254,1367
255,1226
256,608
257,807
258,803
259,12629
260,16392
261,13621
262,6569
263,13769
264,580
265,3816
266,765
267,868
268,955
269,718
270,2494
271,6112
272,3465
273,14867
274,1017
275,1755
276,3718
277,2562
278,429
279,484
280,1046
281,10129
282,6607
283,7480
284,5382
285,5166
286,639
287,2074
288,1316
289,4698
290,895
291,367
292,9873
293,6086
294,1689
295,10945
296,9411
297,8809
298,17053
299,626
300,1367
301,6262
302,6183
303,6804
304,730
305,802
306,1415
307,6837
308,854
309,1148
310,1088
311,2846
312,5913
313,3303
314,2098
315,3468
316,1605
317,1961
318,2572
319,645
320,1788
321,1841
322,997
323,899
324,4726
325,694
326,972
327,1013
328,3855
329,1819
330,2708
331,876
332,4395
333,2231
334,7292
335,7155
336,1084
337,4271
338,16718
339,8055
340,5487
341,1439
342,3045
343,3605
344,3864
345,504
346,2435
347,1068
348,734
349,4808
350,1878
351,972
352,2505
353,920
354,586
355,2364
356,6505
357,15562
358,1067
359,1909
360,871
361,882
362,530
363,617
364,11286
365,1963
366,9682
367,735
368,3429
369,3112
370,1167
371,10424
372,3634
373,1230
374,891
375,1233
376,3299
377,5593
378,1261
379,486
380,5418
381,9055
382,2161
383,1653
384,5122
385,6435
386,4138
387,655
388,3239
389,1875
390,491
391,675
392,2442
393,13372
394,625
395,516
396,16790
397,933
398,1443
399,6459
400,3572
401,1735
402,12870
403,6917
404,2352
405,11428
406,2573
407,581
408,1155
409,2629
410,1678
411,1185
412,1257
413,18239
414,1081
415,665
416,698
417,1063
418,8593
419,886
420,6787
421,2594
422,5457
423,3250
424,1934
425,9408
426,3975
427,15745
428,800
429,633
430,10664
431,3378
432,6533
433,1115
434,2288
435,423
436,2359
437,802
438,6666
439,6426
440,9232
441,11417
442,5067
443,2760
444,2257
445,4759
446,2723
447,802
448,4559
449,670
450,533
451,694
452,1050
453,3931
454,1103
455,1061
456,9193
457,3639
458,664
459,1020
460,1071
461,795
462,6174
463,1615
464,523
465,391
466,6028
467,4725
468,6581
469,730
470,15275
471,14482
472,6271
473,3137
474,1642
475,982
476,856
477,1232
478,2376
479,943
480,5525
481,5385
482,9479
483,6369
484,6708
485,605
486,537
487,1981
488,4337
489,7627
490,4060
491,936
492,17451
493,4872
494,758
495,2184
496,4518
497,1213
498,804
499,586
500,975
501,1772
502,1080
503,9625
504,5799
505,1550
506,3199
507,1357
508,743
509,2843
510,1397
511,5002
512,1920
513,14502
514,839
515,6759
516,449
517,6346
518,5261
519,1654
520,3011
521,4755
522,666
523,6628
524,4144
525,666
526,1819
527,779
528,2697
529,1229
530,6088
531,774
532,3298
533,3321
534,4259
535,667
536,11837
537,11854
538,719
539,7281
540,4295
541,435
542,3142
543,3714
544,548
545,4084
546,1813
547,592
548,1935
549,1147
550,1061
551,2891
552,4841
553,8828
554,526
555,5975
556,589
557,1727
558,833
559,17893
560,926
561,9286
562,561
563,9996
564,2222
565,16547
566,605
567,825
568,10412
569,905
570,8226
571,1646
572,14179
573,1844
574,730
575,2307
576,567
577,522
578,6652
579,7136
580,628
581,9471
582,2792
583,1439
584,4742
585,1053
586,1915
587,1708
588,1576
589,628
590,14482
591,1367
592,5376
593,8946
594,4811
595,5692
596,7611
597,8020
598,1031
599,10502
600,884
601,2224
602,8730
603,9139
604,714
605,2346
606,6336
607,3791
608,868
609,626
610,621
611,1235
612,7463
613,5894
614,872
615,486
616,475
617,2855
618,727
619,2943
620,2329
621,827
622,490
